Total emissions: 333991.6099999999
 
lane; Emission 
572656879_0;1942.2700000000004
29872531_0;227.33999999999995
37287290_0;1574.6699999999994
42412490_0;44.109999999999985
62212739#0_0;2002.6999999999998
30903129#0_0;3442.390000000005
30260452_0;1.04
80702170#1_0;1385.2899999999988
-344789082_0;1147.6299999999999
37280749_0;1884.6899999999996
30001902_0;1088.7899999999893
-36729010#0_0;1527.3799999999976
42412490_1;160.93000000000006
18385008#0_0;259.0999999999999
122949522_0;1042.2300000000005
-44960714#1_0;17.740000000000002
-97129661_0;748.7599999999982
-333061573#2_0;2860.4800000000023
30528384#0_0;135.10000000000002
-47796503_0;709.55
-36729030_0;381.4099999999996
124448646_0;368.97000000000014
37293912#1_0;5231.230000000029
:317703805_0_1;6.69
37290604_0;3194.469999999981
-126894678#0_0;1716.2699999999995
30568275#0_0;8506.560000000034
-126894676#0_0;862.3300000000005
36729010#1_0;1059.12
1039345572#0_0;589.3599999999996
-122949522_0;689.2100000000008
28903078_0;13.760000000000002
122964118#0_0;457.90999999999985
-36729030_1;474.6199999999998
28903078_1;38.500000000000014
114554779#1_0;948.1499999999996
-126895740_0;485.87000000000006
122948203_0;1661.3699999999988
126894678#4_0;328.6700000000001
60710546#0_0;36.470000000000006
332399561#2_0;3417.450000000007
23180033_0;709.5799999999997
30263579_0;702.4200000000001
36726223#1_0;1630.0599999999881
25521359_0;497.86000000000007
60710546#0_1;44.97
-126894682#0_0;498.7800000000001
30529498_0;392.38999999999993
205434518_0;153.45999999999998
-21081120#0_0;1312.629999999998
114554764#2_0;1946.6399999999717
739515975_0;22.3
315526581#2_0;1129.9299999999946
23180032_0;539.5799999999974
-42919365_0;646.9199999999997
60710546#0_2;2.36
:6924277968_0_1;28.269999999999996
15090664_0;1222.9099999999983
22486710_0;239.39000000000001
80702168#1_0;1881.2299999999993
-37290602_0;1935.8699999999985
-114554802#2_0;2288.470000000003
-23180036_0;432.03000000000003
114555768#1_0;1448.6300000000006
-233999572_0;1303.0799999999997
166564262_0;293.3700000000002
60710546#0_3;65.52
37142312_1;9.32
:6924277968_0_2;2.11
36726220#1_0;560.4100000000001
-122949520#1_0;902.9499999999998
37260960_0;800.3899999999985
126894682#1_0;1248.4600000000007
81924141#1_0;282.90000000000015
15101963_0;57.580000000000005
-21564980#0_0;230.66
195828013_0;2747.770000000033
-80727853_0;825.53
44960714#0_0;113.33
-81527787#1_0;2655.149999999999
-81924137#0_0;1683.719999999992
81527789#1_0;1045.949999999998
7715843_0;676.589999999999
122949524#1_0;718.2899999999996
234100501#2_0;1263.6899999999976
210000435_0;2163.519999999997
8014829#1_0;496.4199999999996
-125602434_0;340.8699999999995
572656879_1;2052.8599999999988
33887120_0;3420.140000000004
317000783_0;68.92
-101154827_0;488.5999999999999
-37282869#0_0;514.6300000000001
-36729017_0;2004.2299999999973
-315526580#1_0;272.5200000000001
29186154#1_0;2065.3899999999976
62212736#2_0;2019.1499999999987
24479686#0_0;1621.4199999999973
30528321_0;3896.8200000000206
126895736_0;245.50000000000006
-28228803#1_0;733.3299999999996
-42919373#0_0;3517.679999999992
42107699#0_0;6.129999999999999
:1372470119_0_1;31.889999999999997
28546082_0;362.9199999999999
-28842830_0;376.9600000000002
81522820#1_0;3396.570000000001
333061574#1_0;924.7599999999962
28408160#0_0;3505.2800000000225
317000784#0_0;14.579999999999998
30956219#1_0;50.70999999999999
126894676#1_0;1221.0199999999973
314642995#1_0;1590.9099999999992
370070636_1;4.759999999999997
217644146_0;450.17000000000047
30956554#0_0;4688.46
-76335649_0;1243.1899999999969
-114554800_0;322.67999999999995
8014829#0_0;301.96999999999986
-37293912#0_0;3033.6200000000017
746490375_3;43.399999999999984
-126894678#3_0;2054.8000000000025
42107700#1_0;118.40999999999997
-196972961_0;65.97000000000001
:1372425705_8_0;0.37000000000000005
-342534666#0_0;358.32999999999896
-36726223#0_0;250.08000000000007
-186631612#0_0;1687.4099999999944
:103062861_1_0;107.99999999999997
-333061574#0_0;2175.45
572656872#0_0;2370.69
-15101963_0;219.85000000000002
37282869#1_0;750.58
-217644146_0;369.8400000000003
310792148_0;1577.2099999999919
42919373#1_0;3200.8000000000015
127104869#0_0;1644.6500000000008
-126897923#0_0;822.6699999999996
122946787#0_0;953.0499999999988
122964118#0_1;409.60999999999984
114554764#2_1;3466.5800000000177
24479686#0_1;910.9399999999991
:25291550_1_0;37.02
36729015#1_0;4568.150000000021
24479833_0;458.68000000000035
62201341#1_0;733.2199999999997
21081120#1_0;1608.1299999999994
-114557570_0;197.26000000000008
-37282871#1_0;2134.649999999999
217189185#0_0;0.04
122949520#0_0;951.8499999999991
25521359_1;93.26000000000002
210000435_1;595.96
217189185#0_1;8.93
24673380_0;1603.9499999999941
-317000783_0;135.24999999999994
:317703803_1_0;18.51
:266159814_2_1;55.86
:1007980689_3_0;2.2199999999999998
42107699#0_1;380.6300000000001
:25291567_13_0;1.11
370070636_0;0.51
1066551973_0;0.37
-122949520#0_0;1504.1699999999978
-36726220#0_0;181.95999999999995
:175832743_3_0;1.3900000000000003
:314935876_4_0;1.07
:cluster_1005526490_25291568_1_0;36.11
342534666#1_0;828.9800000000008
-37282869#1_0;424.8600000000001
36729009_0;1116.3599999999985
-126894682#1_0;526.2200000000001
-80727852_0;655.5199999999995
:250658253_2_0;0.58
81527192_0;54.69999999999999
9776916_0;472.03000000000014
-28228803#0_0;852.339999999999
1039345572#0_1;6856.920000000006
:317703805_0_0;5.8
:cluster_1372318829_159619609_7_0;257.8600000000001
:1372260455_8_0;1.6900000000000004
114554802#3_0;3767.859999999998
:1372260494_1_0;5.0
37142312_0;3.54
:60454050_1_0;1.0
:25291570_0_0;128.92
:25291564_9_0;164.02999999999997
81924134_0;2733.6100000000174
-122949524#0_0;776.4000000000003
123635330_0;15.309999999999999
-82410880#0_0;1042.6700000000014
:1371750095_2_0;51.540000000000006
:1372470119_0_0;21.56
:268177652_2_0;22.8
28408160#0_1;1647.1399999999983
:319784143_0_0;21.560000000000002
30001902_1;1779.6299999999999
217644146_1;32.49
123635330_1;409.86
21564980#0_0;244.92000000000013
342717767#1_0;2217.729999999996
:1372376956_3_0;27.849999999999998
:1372318831_7_0;0.41000000000000003
:1372247485_4_0;117.24000000000001
24673382_0;647.7699999999991
:760001802_0_0;28.359999999999996
:1372425705_0_0;52.940000000000005
30529424_0;110.24000000000004
62201341#1_1;633.6099999999999
-1066551973_0;8.09
81527192_1;132.48
42107700#1_1;133.49999999999994
-344789092_0;303.36000000000007
217189186#0_0;409.22
-81527789#0_0;1305.7699999999973
36726221#0_0;1260.209999999997
126894678#1_0;2562.7199999999957
:1372441189_5_0;0.56
80702168#1_1;524.0899999999999
195828017#0_1;4845.44000000006
29064946#0_0;1355.4099999999953
127104869#0_1;1247.949999999999
:319525590_0_0;10.030000000000003
:9793647384_0_0;3.439999999999999
28228803#1_0;487.2999999999998
:1372441183_9_0;12.209999999999999
315526581#2_1;1445.3999999999953
:60004721_13_0;107.5
:314935876_3_0;0.04
30955822_0;1525.1799999999996
:2269494568_0_0;138.44
4236349_0;974.2299999999991
61059606#0_0;125.05000000000001
:175832743_0_0;49.59
:426911741_0_0;2.9000000000000004
:1372260491_3_0;25.37
:cluster_25292476_25292480_3_0;132.39000000000001
:6924277968_0_0;16.560000000000002
:cluster_1372318829_159619609_1_0;59.790000000000006
15103120_0;295.35000000000014
186631612#1_0;285.84999999999997
30001818_0;826.8399999999993
28408345_0;837.2699999999985
:1377211669_1_0;61.05
122949524#0_0;751.7499999999997
15101958_0;1020.2199999999998
:232165213_0_0;0.1
:301360197_0_0;1.2999999999999998
:cluster_258188404_258189020_529507770_529507771_3_0;319.1200000000001
-76334538_0;1912.4099999999912
:25291550_0_0;17.6
-317000784#1_0;30.119999999999997
122950927#0_0;4221.390000000016
:25291564_1_0;26.76
:1377940920_1_0;91.77000000000001
:314935876_1_1;112.76000000000005
746490375_0;53.760000000000005
:56116937_3_0;5.54
-86533506#1_0;1463.259999999999
114554759#1_0;3302.030000000001
24479683_0;436.7499999999996
:1377610493_4_1;181.40000000000012
:25292477_0_0;39.989999999999974
:cluster_1005526490_25291568_7_0;0.33999999999999997
:59953366_2_0;0.35
:266159800_0_1;121.66000000000003
:1372425705_6_0;4.540000000000001
24479683_1;398.60000000000014
195828017#0_0;3130.5599999999963
:175832743_5_0;0.25
:1372318831_4_0;21.430000000000003
:1377211669_3_0;18.659999999999993
:25291550_12_0;4.09
:250658336_0_0;0.5900000000000001
:1377940927_1_0;1.1199999999999999
:cluster_266159806_266159899_3_0;27.25
:cluster_266159806_266159899_9_0;165.79999999999995
123635329_0;301.9799999999993
33887120_1;2759.180000000013
:1372376937_12_0;2.53
:250658253_3_0;15.62
22672072_0;312.8700000000001
23025219#0_0;59.34000000000001
21564980#1_0;1589.6199999999992
15223910#0_1;783.9899999999991
128916509_0;404.94000000000005
:1372441183_16_0;0.0
:1372441189_1_0;362.86000000000024
123911189#0_1;74.59
-114554759#0_0;1203.1799999999996
81522820#1_1;3448.8800000000365
122946787#0_1;1471.6099999999974
:25291591_0_0;27.100000000000005
:1377211668_8_0;60.050000000000004
:760001802_0_2;18.800000000000004
:25291564_10_0;1.62
122957398_0;777.53
:25291565_11_0;1.0100000000000002
62212736#2_1;1677.7899999999975
128916502_0;76.36999999999996
-36729011#0_0;1524.3499999999835
:59953366_7_0;142.69999999999993
:25292473_3_0;55.57999999999999
:25291565_21_0;1.24
86533504_0;718.5400000000004
122948858#0_0;3719.8500000000035
25522290#0_0;47.31999999999999
:25291564_11_0;26.86
:1372425724_0_0;3.97
:1372318826_1_1;48.07000000000001
:1371750099_0_0;1.0699999999999998
:60454050_2_0;34.05
:1371750095_6_0;20.470000000000002
:247359926_19_0;3.21
:1377940906_1_0;57.78
:25291572_2_1;120.81999999999998
:25291567_3_0;0.72
195828013_1;3007.079999999998
:60454050_5_0;1.6
:1372260455_3_0;13.139999999999999
:760001870_0_0;10.670000000000002
739515975_2;9.16
:1372233754_10_0;36.179999999999986
-141320983_0;201.77
:1377211667_3_0;143.51
:1372376937_6_0;33.82000000000001
:25292473_0_0;135.53999999999994
84235075#0_0;66.40000000000003
:6924277968_0_3;8.950000000000001
:1377940926_2_0;202.09000000000006
:1005727548_0_1;19.81
:1377211669_6_0;0.51
29400781_0;796.1500000000004
:1377211666_8_0;123.02
8014829#0_1;405.2099999999994
:60170470_1_0;1.5900000000000003
:1372441183_2_0;15.92
:247359926_0_0;22.069999999999997
-114554779#0_0;451.50999999999976
30529623_0;687.0700000000005
15223910#0_0;481.1999999999995
:1377211669_11_0;1.1700000000000004
:1456572633_0_1;9.920000000000002
:25291571_1_0;370.0199999999993
:1377940927_0_0;94.24999999999999
:cluster_1005526490_25291568_8_0;586.2899999999996
:1377940926_4_0;89.39000000000004
:913250150_0_1;22.069999999999997
:1372376956_8_0;0.0
:cluster_266159806_266159899_1_0;216.50000000000009
:1377211669_7_0;66.54999999999998
:1372247485_1_1;342.8399999999997
:266159814_2_0;279.23999999999995
:cluster_6858001697_6858001699_0_0;741.0000000000001
-314403237#1_0;2077.759999999996
:cluster_25292476_25292480_2_0;48.45000000000001
:1372260455_0_0;14.110000000000001
:1377940906_5_0;0.5800000000000001
:56116937_8_0;19.060000000000002
:1372318831_3_0;1.6800000000000002
:1372441183_12_0;72.30000000000001
:149143065_2_0;11.29
:cluster_1372477605_246630384_246630386_266378250_292727217_317703608_317703609_434149261_6795337887_6795337888_6795337889_6860480481_913255820_4_0;68.92
:56116937_4_0;40.14000000000001
:434108724_0_0;30.400000000000006
:747446781_0_0;81.19
:cluster_258188404_258189020_529507770_529507771_8_0;27.189999999999994
:266159800_0_0;168.76000000000008
:25292477_2_0;22.06
:1372233733_2_0;0.22
:1372260497_4_0;89.79999999999994
:25291570_2_0;10.989999999999998
:25292477_2_1;81.02000000000004
30956554#0_1;4966.309999999994
-37287288_0;482.62999999999994
:1377211668_10_0;150.19000000000003
:60004721_9_0;28.599999999999998
:cluster_1372477605_246630384_246630386_266378250_292727217_317703608_317703609_434149261_6795337887_6795337888_6795337889_6860480481_913255820_3_0;6.15
:1372233733_9_0;0.47
:1377940906_0_0;14.84
:56116936_1_0;5.17
:60170471_5_0;126.15999999999993
122949520#1_0;1388.2299999999602
:1377211668_13_0;11.090000000000002
:60454050_4_0;14.309999999999999
:266159814_0_0;189.86999999999995
86533504_1;269.90000000000015
61059606#0_1;514.5900000000001
:1372318837_7_0;109.60000000000007
:1372246313_0_0;0.19
:1377211666_1_0;98.77999999999999
:268177652_1_0;3.2399999999999998
:1372260494_0_0;19.72
8014829#1_1;896.7599999999989
:1372233754_0_0;26.449999999999996
746490375_1;51.33
-29186154#0_0;1044.73
:25291565_6_0;13.309999999999997
:56116936_0_0;0.0
:1372318831_8_0;23.509999999999998
:25291591_4_0;158.11999999999998
:25292473_9_0;77.94999999999999
:1372376937_1_0;115.97
:cluster_258188404_258189020_529507770_529507771_15_1;14.669999999999998
:25291565_18_0;50.23
:2269494568_1_0;180.79000000000005
746490375_2;0.64
82410880#1_0;288.41
:1372441170_7_0;108.67
23025219#0_1;80.39999999999998
:59953366_10_0;1.25
:1371750095_4_0;7.539999999999999
:1372260491_1_0;61.19000000000001
36729028#1_0;4754.900000000016
:25291567_0_0;31.249999999999996
:25291571_5_0;167.59999999999994
:cluster_1005526490_25291568_9_0;159.52000000000004
:1007980689_0_0;48.50999999999998
:1372376956_11_0;15.050000000000002
:77698717_0_0;0.05
30263579_1;569.9599999999998
:747446781_0_2;24.009999999999998
:1005727548_0_2;88.27999999999996
:1372318831_9_0;16.009999999999998
:25291565_19_0;0.7000000000000001
:60004721_2_0;21.95
:60170471_4_0;233.37000000000003
-9776916_0;379.1100000000003
:1377211666_1_1;114.46999999999997
86533504_2;472.9999999999999
:1371750097_0_0;16.16
:60004721_12_0;16.83
:60170470_2_0;37.15999999999998
:25291564_8_0;54.650000000000006
:25292473_7_0;133.55000000000004
:25291564_17_0;2.2499999999999996
:1377940926_9_0;15.679999999999998
:cluster_1372207346_266159810_311043735_344219179_7734325326_7734325333_7_0;276.08000000000004
:1372441183_4_0;56.58999999999998
30263579_2;122.38000000000001
:25291550_9_0;1.7999999999999998
:cluster_266159806_266159899_4_0;260.8300000000001
:cluster_1372207346_266159810_311043735_344219179_7734325326_7734325333_8_0;344.00999999999993
15245482_0;1214.209999999998
:1377610493_4_0;100.55999999999993
:1379421236_0_0;2.7200000000000006
:25291564_2_0;4.28
:cluster_1372318829_159619609_7_1;150.02
62212739#0_1;2075.219999999995
:313981058_0_0;35.33
:cluster_258188404_258189020_529507770_529507771_18_0;13.240000000000002
24479686#0_2;78.36999999999999
:1371750095_1_0;39.13000000000001
:747446781_0_1;121.03999999999999
:1372441170_0_0;86.78000000000003
:6985732736_0_3;0.0
:1372376956_7_0;77.19000000000005
:25291564_15_0;10.899999999999999
:1372318837_4_0;79.13
:1372233754_5_0;6.629999999999999
37137191#0_0;183.43999999999997
:25292473_7_1;207.20999999999992
:25291537_2_0;0.17
:25291537_6_0;121.86999999999996
:25291565_3_0;0.61
:25291567_2_0;1.31
:250658253_4_0;30.549999999999997
:2269494568_1_1;11.97
:1372376935_0_0;1.87
:1377211667_1_0;42.50999999999999
:1377211669_1_1;24.9
:cluster_1372318829_159619609_6_0;6.309999999999999
28586048_0;195.48000000000005
:25291565_17_0;1.8100000000000003
:25291571_1_1;199.46000000000006
:247359926_5_0;28.39999999999999
:1372233731_0_0;195.68
122962417_0;213.37999999999994
:cluster_1005526490_25291568_6_0;24.150000000000006
:1377211669_5_0;7.449999999999999
:1007980689_1_0;34.55
:1371750095_5_0;7.799999999999999
:60170471_6_0;194.39000000000001
:1372470119_3_0;20.240000000000002
:314935876_0_0;73.70999999999998
:1372233731_2_0;66.49999999999999
:1372376937_9_0;94.65999999999998
:1377211666_5_0;2.1300000000000003
:cluster_25292476_25292480_0_0;250.1100000000002
:60004721_8_0;3.93
:1372233733_3_0;111.02999999999997
:247359926_10_0;37.17999999999999
:cluster_25292476_25292480_3_1;410.7099999999998
:1377610493_0_0;223.99999999999991
:1377610493_2_0;150.07000000000002
:1377211669_10_0;33.870000000000005
:60170470_5_0;67.62999999999997
:60454050_3_0;28.019999999999996
:59953366_0_0;380.58000000000004
36729028#1_1;1341.3799999999983
