Total emissions: 333991.6099999999
 
time(s); Emission 
0.00;0.0
1.00;0.0
2.00;0.16000000000000003
3.00;0.5600000000000002
4.00;1.3000000000000007
5.00;2.380000000000001
6.00;4.499999999999998
7.00;6.989999999999995
8.00;9.759999999999994
9.00;13.89999999999999
10.00;19.65
11.00;25.699999999999992
12.00;32.03
13.00;40.9
14.00;51.21000000000001
15.00;61.17000000000001
16.00;76.67
17.00;92.24000000000002
18.00;101.78999999999998
19.00;122.39000000000001
20.00;144.72999999999993
21.00;163.40999999999997
22.00;180.17999999999998
23.00;199.26999999999995
24.00;230.97000000000006
25.00;250.91999999999996
26.00;285.28999999999974
27.00;295.21999999999997
28.00;314.17
29.00;335.59999999999997
30.00;341.39000000000016
31.00;365.06
32.00;378.58000000000004
33.00;371.0000000000001
34.00;406.5299999999996
35.00;438.88999999999936
36.00;439.49999999999955
37.00;459.4999999999997
38.00;471.2699999999996
39.00;473.2799999999998
40.00;479.6799999999998
41.00;476.66
42.00;501.9599999999995
43.00;491.40999999999974
44.00;500.9299999999996
45.00;504.0699999999997
46.00;468.85000000000014
47.00;491.7300000000001
48.00;511.1599999999995
49.00;507.69000000000005
50.00;530.0199999999995
51.00;545.0099999999994
52.00;550.4599999999998
53.00;546.4700000000003
54.00;559.3299999999994
55.00;551.3000000000003
56.00;540.15
57.00;570.82
58.00;576.4800000000002
59.00;560.0499999999994
60.00;579.4299999999992
61.00;570.0799999999998
62.00;560.2699999999996
63.00;596.5799999999997
64.00;583.2899999999997
65.00;623.0899999999996
66.00;606.9999999999997
67.00;576.3499999999993
68.00;574.9699999999999
69.00;579.4700000000003
70.00;602.9399999999996
71.00;617.9699999999992
72.00;612.9699999999987
73.00;609.7399999999998
74.00;609.7199999999997
75.00;599.4799999999997
76.00;615.7099999999999
77.00;612.1099999999999
78.00;629.5199999999988
79.00;632.5900000000001
80.00;650.0900000000003
81.00;632.7899999999998
82.00;652.0799999999997
83.00;688.9499999999996
84.00;655.3999999999996
85.00;663.4599999999992
86.00;659.1199999999992
87.00;624.8799999999997
88.00;622.9199999999998
89.00;623.7899999999994
90.00;593.3699999999994
91.00;598.4299999999993
92.00;599.76
93.00;611.7200000000001
94.00;607.7199999999997
95.00;620.4200000000006
96.00;640.3500000000003
97.00;616.34
98.00;630.8399999999989
99.00;627.7300000000004
100.00;637.8499999999996
101.00;617.85
102.00;598.9299999999994
103.00;587.3399999999998
104.00;555.3500000000001
105.00;541.3499999999999
106.00;563.8999999999997
107.00;577.2000000000003
108.00;592.6199999999997
109.00;544.7899999999996
110.00;570.6099999999999
111.00;562.1600000000005
112.00;567.3999999999999
113.00;548.6099999999991
114.00;557.0399999999995
115.00;536.4899999999996
116.00;554.4599999999994
117.00;515.1899999999998
118.00;499.4499999999999
119.00;521.7499999999994
120.00;506.7199999999998
121.00;510.9499999999995
122.00;486.67999999999995
123.00;469.7600000000002
124.00;487.2199999999995
125.00;465.7799999999998
126.00;474.0999999999998
127.00;486.69999999999965
128.00;470.99999999999955
129.00;467.5000000000001
130.00;474.13000000000017
131.00;469.97999999999985
132.00;487.33
133.00;470.26999999999964
134.00;461.0599999999998
135.00;442.4699999999995
136.00;408.16999999999985
137.00;377.24000000000007
138.00;380.99999999999983
139.00;370.4099999999999
140.00;374.2899999999999
141.00;382.6599999999998
142.00;390.27999999999986
143.00;380.6400000000001
144.00;382.0100000000001
145.00;384.10000000000014
146.00;363.0199999999997
147.00;350.9000000000002
148.00;346.6300000000001
149.00;335.8500000000003
150.00;364.5800000000002
151.00;343.6600000000003
152.00;346.17999999999967
153.00;346.2700000000002
154.00;362.9500000000002
155.00;389.12999999999954
156.00;401.99999999999994
157.00;436.3499999999998
158.00;428.7099999999999
159.00;416.55000000000024
160.00;412.34999999999997
161.00;404.46999999999986
162.00;367.6899999999999
163.00;383.6299999999996
164.00;392.4899999999998
165.00;375.29999999999984
166.00;357.4499999999997
167.00;371.3600000000003
168.00;359.3100000000001
169.00;359.60999999999996
170.00;349.3100000000001
171.00;369.49999999999994
172.00;347.22999999999973
173.00;368.45
174.00;367.97
175.00;360.76999999999975
176.00;366.1199999999997
177.00;362.87
178.00;373.5400000000001
179.00;401.78999999999985
180.00;379.2600000000001
181.00;371.2300000000001
182.00;401.7999999999997
183.00;433.04000000000013
184.00;426.07999999999987
185.00;426.0199999999995
186.00;393.16999999999973
187.00;388.83
188.00;386.96999999999974
189.00;369.72999999999985
190.00;346.15
191.00;328.56000000000006
192.00;323.0999999999999
193.00;320.33
194.00;313.6900000000001
195.00;307.44000000000005
196.00;281.41000000000014
197.00;279.2999999999999
198.00;288.5599999999998
199.00;304.32
200.00;330.0499999999997
201.00;288.4999999999999
202.00;290.5899999999998
203.00;270.91
204.00;274.86000000000007
205.00;292.6599999999998
206.00;298.6699999999996
207.00;320.55000000000007
208.00;322.36999999999983
209.00;319.47000000000037
210.00;319.74000000000007
211.00;311.7199999999999
212.00;295.77
213.00;299.41999999999985
214.00;292.30999999999983
215.00;294.90999999999985
216.00;305.8299999999998
217.00;312.4200000000002
218.00;306.49
219.00;314.84000000000026
220.00;330.79999999999984
221.00;350.03999999999985
222.00;348.27000000000004
223.00;350.32999999999987
224.00;332.95999999999987
225.00;333.56
226.00;317.77999999999975
227.00;327.87000000000006
228.00;312.4699999999997
229.00;334.86999999999995
230.00;336.8800000000001
231.00;343.1999999999999
232.00;329.7399999999998
233.00;346.97999999999996
234.00;339.28999999999996
235.00;347.30999999999943
236.00;342.21000000000015
237.00;335.7299999999998
238.00;335.8499999999999
239.00;330.48
240.00;300.25000000000006
241.00;239.4100000000001
242.00;249.50999999999993
243.00;249.12000000000006
244.00;253.78000000000006
245.00;252.75000000000009
246.00;273.2500000000001
247.00;257.72000000000025
248.00;272.8699999999999
249.00;273.7399999999997
250.00;291.97
251.00;283.4699999999999
252.00;261.4800000000002
253.00;284.3499999999999
254.00;285.84999999999974
255.00;289.64
256.00;311.89999999999964
257.00;314.7200000000001
258.00;325.11
259.00;352.6400000000001
260.00;360.0999999999997
261.00;381.2499999999996
262.00;371.14999999999986
263.00;382.74000000000024
264.00;406.0399999999998
265.00;416.98999999999995
266.00;393.14000000000004
267.00;430.62999999999994
268.00;434.0799999999999
269.00;428.93999999999977
270.00;409.23999999999984
271.00;410.67
272.00;401.6499999999999
273.00;377.1499999999999
274.00;380.61999999999983
275.00;369.4600000000001
276.00;394.8399999999997
277.00;398.4000000000001
278.00;373.6899999999998
279.00;367.1499999999997
280.00;352.90999999999985
281.00;361.49999999999994
282.00;321.1700000000002
283.00;319.38000000000005
284.00;311.22000000000014
285.00;306.1500000000001
286.00;302.18000000000006
287.00;295.10999999999996
288.00;290.1599999999999
289.00;282.25999999999993
290.00;276.3500000000003
291.00;282.0300000000002
292.00;289.85999999999996
293.00;277.84000000000015
294.00;276.47
295.00;270.5500000000001
296.00;286.79999999999995
297.00;286.06999999999994
298.00;262.11000000000007
299.00;269.83000000000015
300.00;255.58999999999995
301.00;254.32999999999998
302.00;251.8500000000001
303.00;259.1199999999999
304.00;250.94999999999987
305.00;252.02
306.00;248.15999999999994
307.00;255.40000000000012
308.00;268.32000000000005
309.00;268.62
310.00;251.32000000000002
311.00;267.33999999999986
312.00;269.42
313.00;271.2499999999997
314.00;272.1099999999999
315.00;287.0100000000002
316.00;273.1899999999999
317.00;276.54999999999995
318.00;307.11999999999983
319.00;322.5400000000002
320.00;323.0399999999999
321.00;330.68999999999994
322.00;343.8400000000001
323.00;347.59999999999957
324.00;355.28
325.00;366.1200000000001
326.00;329.28999999999996
327.00;335.0900000000003
328.00;343.6900000000002
329.00;362.7199999999995
330.00;382.52999999999986
331.00;385.55
332.00;360.2200000000002
333.00;386.7200000000002
334.00;393.02
335.00;389.85000000000014
336.00;416.19999999999976
337.00;410.6100000000002
338.00;416.5900000000003
339.00;391.61000000000024
340.00;363.77999999999986
341.00;358.16999999999985
342.00;351.4099999999998
343.00;360.94000000000017
344.00;359.97999999999985
345.00;367.13999999999993
346.00;357.40999999999974
347.00;352.43999999999966
348.00;340.6399999999999
349.00;344.13000000000017
350.00;331.68999999999994
351.00;318.75999999999993
352.00;284.68
353.00;278.9399999999997
354.00;267.0899999999998
355.00;276.7900000000001
356.00;269.43999999999994
357.00;258.34000000000015
358.00;257.6699999999999
359.00;242.10000000000005
360.00;244.97000000000008
361.00;232.10999999999999
362.00;220.5500000000001
363.00;213.98000000000002
364.00;204.32999999999993
365.00;211.95999999999984
366.00;208.56000000000006
