Total emissions: 336430.42999999906
 
Vehicle; Emission 
test_trip_0;339.7900000000001
test_trip_1;485.0399999999997
test_trip_10;386.0699999999997
test_trip_11;358.48999999999984
test_trip_2;154.81000000000003
test_trip_3;495.90999999999997
test_trip_4;267.8599999999996
test_trip_5;190.51999999999995
test_trip_6;362.58
test_trip_7;386.85999999999984
test_trip_8;269.7399999999997
test_trip_9;513.25
test_trip_12;31.95
test_trip_13;240.53999999999994
test_trip_14;380.39999999999975
test_trip_15;160.98999999999998
test_trip_16;214.10999999999987
test_trip_17;323.99000000000007
test_trip_18;107.40999999999997
test_trip_19;533.0100000000001
test_trip_20;86.15000000000005
test_trip_21;526.4399999999995
test_trip_23;131.58999999999997
test_trip_24;416.5099999999999
test_trip_25;301.71000000000015
test_trip_26;508.5700000000003
test_trip_28;286.96
test_trip_29;369.08
test_trip_30;327.23000000000013
test_trip_31;535.2400000000004
test_trip_32;396.2099999999999
test_trip_34;270.57999999999987
test_trip_35;371.6399999999997
test_trip_36;193.93000000000004
test_trip_37;509.91999999999973
test_trip_39;396.25999999999993
test_trip_40;392.4899999999999
test_trip_41;285.06
test_trip_42;531.4499999999999
test_trip_43;306.33
test_trip_44;162.32999999999996
test_trip_45;129.37
test_trip_46;164.62000000000003
test_trip_48;281.36000000000007
test_trip_49;117.02
test_trip_50;205.56000000000006
test_trip_51;292.9700000000001
test_trip_52;110.61
test_trip_53;289.06000000000006
test_trip_54;454.7499999999997
test_trip_56;543.7099999999999
test_trip_57;59.52000000000002
test_trip_58;413.5899999999997
test_trip_59;44.12
test_trip_60;388.55999999999995
test_trip_61;332.54
test_trip_63;490.02000000000004
test_trip_65;357.5800000000001
test_trip_66;169.33000000000013
test_trip_67;392.76
test_trip_68;396.71999999999986
test_trip_69;148.92000000000004
test_trip_70;499.70000000000005
test_trip_71;143.77
test_trip_72;496.46999999999997
test_trip_73;68.03999999999999
test_trip_74;270.21000000000004
test_trip_75;136.62000000000003
test_trip_76;436.4200000000001
test_trip_77;298.17999999999995
test_trip_22;341.23000000000013
test_trip_33;335.47999999999996
test_trip_38;289.9600000000001
test_trip_78;276.7000000000001
test_trip_79;323.9799999999998
test_trip_80;136.35
test_trip_81;561.7099999999995
test_trip_82;489.1400000000001
test_trip_85;240.17999999999986
test_trip_86;336.0600000000001
test_trip_87;620.2200000000005
test_trip_100;509.32999999999976
test_trip_55;128.78999999999996
test_trip_89;63.41000000000001
test_trip_90;264.80999999999995
test_trip_91;590.9599999999997
test_trip_92;199.05
test_trip_95;332.63
test_trip_97;40.870000000000005
test_trip_98;308.64000000000016
test_trip_99;264.99999999999994
test_trip_102;496.1000000000001
test_trip_103;198.10999999999993
test_trip_104;362.11000000000007
test_trip_105;350.6599999999995
test_trip_106;397.56999999999977
test_trip_107;502.03999999999985
test_trip_108;212.62000000000003
test_trip_110;195.87000000000012
test_trip_111;275.6299999999999
test_trip_27;221.50999999999985
test_trip_83;205.72000000000008
test_trip_112;388.7199999999997
test_trip_113;310.2699999999999
test_trip_114;237.78999999999994
test_trip_115;211.5500000000001
test_trip_117;445.40999999999985
test_trip_118;159.91000000000003
test_trip_119;178.0900000000001
test_trip_120;204.73
test_trip_121;54.93
test_trip_122;181.1
test_trip_125;464.6199999999996
test_trip_126;335.97
test_trip_127;340.8800000000002
test_trip_129;290.1800000000002
test_trip_130;95.54000000000003
test_trip_131;551.8000000000004
test_trip_132;254.04000000000002
test_trip_47;94.01999999999998
test_trip_94;206.49000000000007
test_trip_133;485.5000000000001
test_trip_134;333.1899999999998
test_trip_135;19.71
test_trip_136;410.6600000000002
test_trip_138;485.8899999999996
test_trip_140;431.1099999999997
test_trip_141;277.5900000000001
test_trip_142;305.64999999999986
test_trip_62;25.81
test_trip_64;469.4599999999995
test_trip_84;360.5099999999999
test_trip_88;449.35
test_trip_93;259.5999999999999
test_trip_137;350.8400000000002
